File	type	entity
thoreau-walden-186.tsv	LOCATION	Concord
thoreau-walden-186.tsv	LOCATION	Weston
thoreau-walden-186.tsv	LOCATION	Concord
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Arabia
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Walden Pond
thoreau-walden-186.tsv	LOCATION	Scotland
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Cape
thoreau-walden-186.tsv	LOCATION	White Pond
thoreau-walden-186.tsv	LOCATION	New England Farmer
thoreau-walden-186.tsv	LOCATION	Iceland
thoreau-walden-186.tsv	LOCATION	Walden Pond
thoreau-walden-186.tsv	LOCATION	Cambridge
thoreau-walden-186.tsv	LOCATION	Valhalla
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Fresh Pond
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Charleston
thoreau-walden-186.tsv	LOCATION	New Orleans
thoreau-walden-186.tsv	LOCATION	Madras
thoreau-walden-186.tsv	LOCATION	Bombay
thoreau-walden-186.tsv	LOCATION	Calcutta
thoreau-walden-186.tsv	LOCATION	Bramin
thoreau-walden-186.tsv	LOCATION	Brahma
thoreau-walden-186.tsv	LOCATION	Ganges
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Ternate
thoreau-walden-186.tsv	LOCATION	Persian Gulf
thoreau-walden-186.tsv	LOCATION	Flint
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Flint
thoreau-walden-186.tsv	LOCATION	Cambridge
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Flint
thoreau-walden-186.tsv	LOCATION	Sudbury
thoreau-walden-186.tsv	LOCATION	Earth
thoreau-walden-186.tsv	LOCATION	New England
thoreau-walden-186.tsv	LOCATION	Canada
thoreau-walden-186.tsv	LOCATION	Aurora
thoreau-walden-186.tsv	LOCATION	Nine Acre Corner
thoreau-walden-186.tsv	LOCATION	Calidas
thoreau-walden-186.tsv	LOCATION	Sacontala
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	New England
thoreau-walden-186.tsv	LOCATION	Canada
thoreau-walden-186.tsv	LOCATION	Ohio
thoreau-walden-186.tsv	LOCATION	Colorado
thoreau-walden-186.tsv	LOCATION	Africa
thoreau-walden-186.tsv	LOCATION	Africa
thoreau-walden-186.tsv	LOCATION	West
thoreau-walden-186.tsv	LOCATION	Niger
thoreau-walden-186.tsv	LOCATION	Mississippi
thoreau-walden-186.tsv	LOCATION	Mungo Park
thoreau-walden-186.tsv	LOCATION	Columbus
thoreau-walden-186.tsv	LOCATION	South Sea
thoreau-walden-186.tsv	LOCATION	Atlantic
thoreau-walden-186.tsv	LOCATION	Pacific Ocean
