File	type	entity
austen-pride.tsv	LOCATION	Charlotte
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Hertfordshire
austen-pride.tsv	LOCATION	Charlotte
austen-pride.tsv	LOCATION	Charlotte
austen-pride.tsv	LOCATION	Charlotte
austen-pride.tsv	LOCATION	Charlotte
austen-pride.tsv	LOCATION	Charlotte
austen-pride.tsv	LOCATION	Charlotte
austen-pride.tsv	LOCATION	Hunsford
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Charlotte
austen-pride.tsv	LOCATION	Charlotte
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Charlotte
austen-pride.tsv	LOCATION	Hertfordshire
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Hertfordshire
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Charlotte
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Hertfordshire
austen-pride.tsv	LOCATION	Charlotte
austen-pride.tsv	LOCATION	Hertfordshire
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Gracechurch Street
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Philipses
austen-pride.tsv	LOCATION	Hertfordshire
austen-pride.tsv	LOCATION	Derbyshire
austen-pride.tsv	LOCATION	Pemberley
austen-pride.tsv	LOCATION	Hertfordshire
austen-pride.tsv	LOCATION	Hertfordshire
austen-pride.tsv	LOCATION	Charlotte
austen-pride.tsv	LOCATION	Hunsford
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Grosvenor
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Hunsford Pray
